,refebibl-id,type-code,type-name,title,author,journal-name,pubi-year,volume,isseue,serno,page,pubilisher,doi,arti-id,degree,university,department,artiId,url,citation-day,site-name,registration-day,conference-name,modern_liter,grouped_title
6762,REF030872936,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART001749377,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
6807,REF028384216,5,학위논문,"1990년대 여성소설의 자전적 글쓰기 연구 : 박완서, 신경숙 소설을 중심으로",노미연,,2011,,,,,,,,석사,단국대학교 교육대학원,,ART001733568,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
6823,REF028384232,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART001733568,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
7426,REF025726662,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART001566241,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
7890,REF025942683,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART001534045,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
8300,REF019672343,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART001400199,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
8915,REF016395508,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식;기억으로 발언하기- 1990년대 박완서 자전소설의 의미 연구,,,2004.2,12,,,403-432,상허학회,,,,,,ART001219336,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
9034,REF016360041,1,학술지(정기간행물),1990년대 여성 성장소설 연구,,,2007,,,,1-88,,,,,,,ART001074850,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
9565,REF016373053,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식;기억으로 발언하기- 1990년대 박완서 자전소설의 의미 연구,,,2004.2,12,,,403-432,상허학회,,,,,,ART001219334,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
9811,REF058696970,1,학술지(정기간행물),신경숙의 ｢외딴방｣과 1990년대의 마음,서영채,문학동네,2017,,봄,,578-611,,,,,,,ART002717312,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
10283,REF058387579,1,학술지(정기간행물),1990년대 문학지형과 여성문학 담론,서영인,대중서사연구,2018,24,2,,9-40,대중서사학회,http://dx.doi.org/10.18856/jpn.2018.24.2.001,ART002348574,,,,ART002759077,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
10290,REF058387586,1,학술지(정기간행물),‘문학주의’ 시대의 ‘포스트모더니즘’ —1990년대 비평이 ‘포스트모더니즘’과 접속하는 방식,조연정,대중서사연구,2018,24,4,,329-374,대중서사학회,http://dx.doi.org/10.18856/jpn.2018.24.4.011,ART002406161,,,,ART002759077,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
10291,REF058387587,1,학술지(정기간행물),1990년대 젠더화된 문단에서 페미니즘하기-김정란과 허수경을 읽으며,조연정,구보학보,2021,,27,,271-304,구보학회,http://dx.doi.org/10.35153/gubokr.2021..27.008,ART002714515,,,,ART002759077,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
10293,REF058387589,1,학술지(정기간행물),창비와 '신경숙'이 만났을 때 - 1990년대 한국 문학장의 재편과 여성문학의 발흥,천정환,역사비평,2015,,112,,278-301,역사문제연구소,,ART002024851,,,,ART002759077,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
10332,REF058387694,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART002759124,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
10598,REF056717208,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART002625497,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
