refebibl-id,type-code,type-name,title,author,journal-name,pubi-year,volume,isseue,serno,page,pubilisher,doi,arti-id,degree,university,department,artiId,url,citation-day,site-name,registration-day,conference-name,modern_liter,unified_title
REF064216026,1,학술지(정기간행물),"1990년대 페미니즘의 대중화, 그 직전의 풍경",허주영,민족문학사연구,2022,,78,,171-205,민족문학사연구소,,ART002839003,,,,ART002910010,,,,,,추가,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
REF064158709,1,학술지(정기간행물),"1990년대 페미니즘의 대중화, 그 직전의 풍경",허주영,민족문학사연구,2022,,78,,171-205,민족문학사연구소,,ART002839003,,,,ART002917858,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
REF064365978,1,학술지(정기간행물),"1990년대 페미니즘의 대중화, 그 직전의 풍경",허주영,민족문학사연구,2022,,78,,171-205,민족문학사연구소,,ART002839003,,,,ART002905339,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
REF064216026,1,학술지(정기간행물),"1990년대 페미니즘의 대중화, 그 직전의 풍경",허주영,민족문학사연구,2022,,78,,171-205,민족문학사연구소,,ART002839003,,,,ART002910010,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
